run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	sra_file_role	bam_file_role
ERR1002053	PRJEB9797	ERP010942	SAMEA3523005	ERS830154	ERX1081077	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	155849	6233960	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:652-4	ena-RUN-KI-BN-06-09-2015-20:23:04:652-4	5808911	2369a997246047853cac241d233e6b92	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/003/ERR1002053/ERR1002053.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/003/ERR1002053/ERR1002053.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/003/ERR1002053/ERR1002053.fastq.gz	5371291	db250913437031b68e321e76a4fc1b75	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002053/ALX1_FL_2_KX_TCCTTG40NGGT.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002053/ALX1_FL_2_KX_TCCTTG40NGGT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002053/ALX1_FL_2_KX_TCCTTG40NGGT.fastq.gz	FASTQ	3745395	810abb3d883b2ab0b4ae96f1fba084f9	ftp.sra.ebi.ac.uk/vol1/err/ERR100/003/ERR1002053	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/003/ERR1002053	ftp.sra.ebi.ac.uk/vol1/err/ERR100/003/ERR1002053	ALX1_FL_2_KX_TCCTTG40NGGT		mHT-SELEX sample ALX1_FL		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002058	PRJEB9797	ERP010942	SAMEA3523010	ERS830159	ERX1081082	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	386263	15450520	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:652-9	ena-RUN-KI-BN-06-09-2015-20:23:04:652-9	15500437	051a73bc4b2ce22de8d3637fc1b8ec3c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1002058/ERR1002058.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/008/ERR1002058/ERR1002058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1002058/ERR1002058.fastq.gz	14388250	6b52ba4ad2b24dcf0e1a76ce4fdd4508	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002058/ALX3_eDBD_1_KO_TGCATG40NATG.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002058/ALX3_eDBD_1_KO_TGCATG40NATG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002058/ALX3_eDBD_1_KO_TGCATG40NATG.fastq.gz	FASTQ	10008719	43a1bbd865c85565cfdf1c5c2150d737	ftp.sra.ebi.ac.uk/vol1/err/ERR100/008/ERR1002058	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/008/ERR1002058	ftp.sra.ebi.ac.uk/vol1/err/ERR100/008/ERR1002058	ALX3_eDBD_1_KO_TGCATG40NATG		mHT-SELEX sample ALX3_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002061	PRJEB9797	ERP010942	SAMEA3523013	ERS830162	ERX1081085	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	392403	15696120	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:652-12	ena-RUN-KI-BN-06-09-2015-20:23:04:652-12	15575364	b616f6f5814752f9b0e5b252631cf9b1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/001/ERR1002061/ERR1002061.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/001/ERR1002061/ERR1002061.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/001/ERR1002061/ERR1002061.fastq.gz	14434683	15180a18acde050e53ac0e96cbbf3b04	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002061/ALX3_eDBD_2_KO_TGCTCC40NCCG.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002061/ALX3_eDBD_2_KO_TGCTCC40NCCG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002061/ALX3_eDBD_2_KO_TGCTCC40NCCG.fastq.gz	FASTQ	10113246	6223cae2dbe0dafecbaa9346784ad49e	ftp.sra.ebi.ac.uk/vol1/err/ERR100/001/ERR1002061	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/001/ERR1002061	ftp.sra.ebi.ac.uk/vol1/err/ERR100/001/ERR1002061	ALX3_eDBD_2_KO_TGCTCC40NCCG		HT-SELEX sample ALX3_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002070	PRJEB9797	ERP010942	SAMEA3523022	ERS830171	ERX1081094	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	332817	13312680	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:652-21	ena-RUN-KI-BN-06-09-2015-20:23:04:652-21	12836062	a6a20304913d5127eca5d569a050959e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1002070/ERR1002070.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/000/ERR1002070/ERR1002070.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1002070/ERR1002070.fastq.gz	11910074	31aa0db2e53fa908a16a8b4eb28efa60	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002070/ALX3_FL_3_KV_TAGCTG40NCTA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002070/ALX3_FL_3_KV_TAGCTG40NCTA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002070/ALX3_FL_3_KV_TAGCTG40NCTA.fastq.gz	FASTQ	8235178	f2a491b979fe510897a767cd2c22822d	ftp.sra.ebi.ac.uk/vol1/err/ERR100/000/ERR1002070	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/000/ERR1002070	ftp.sra.ebi.ac.uk/vol1/err/ERR100/000/ERR1002070	ALX3_FL_3_KV_TAGCTG40NCTA		HT-SELEX sample ALX3_FL		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002073	PRJEB9797	ERP010942	SAMEA3523025	ERS830174	ERX1081097	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	325264	13010560	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-24	ena-RUN-KI-BN-06-09-2015-20:23:04:653-24	12363401	7f2248bbc3bdbb7b7b0d1f9664e23120	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/003/ERR1002073/ERR1002073.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/003/ERR1002073/ERR1002073.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/003/ERR1002073/ERR1002073.fastq.gz	11447856	afafddd437143194f2514a61907d2e9b	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002073/ALX3_FL_4_KV_TTGCGA40NGTA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002073/ALX3_FL_4_KV_TTGCGA40NGTA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002073/ALX3_FL_4_KV_TTGCGA40NGTA.fastq.gz	FASTQ	7972301	ad63ca17fd39e59944a3ffd095f0044e	ftp.sra.ebi.ac.uk/vol1/err/ERR100/003/ERR1002073	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/003/ERR1002073	ftp.sra.ebi.ac.uk/vol1/err/ERR100/003/ERR1002073	ALX3_FL_4_KV_TTGCGA40NGTA		mHT-SELEX sample ALX3_FL		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002076	PRJEB9797	ERP010942	SAMEA3523028	ERS830177	ERX1081100	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	226727	9069080	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-27	ena-RUN-KI-BN-06-09-2015-20:23:04:653-27	10262622	73efc1a21a018dbab5c94b82250a448c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1002076/ERR1002076.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/006/ERR1002076/ERR1002076.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1002076/ERR1002076.fastq.gz	9569560	e8fb43b6faf5e7c2613978206d2d1c97	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002076/ALX4_eDBD_2_KW_TCTATT40NCAT.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002076/ALX4_eDBD_2_KW_TCTATT40NCAT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002076/ALX4_eDBD_2_KW_TCTATT40NCAT.fastq.gz	FASTQ	6790733	0578e08e997407d482b41e8fbaaa37a9	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1002076	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/006/ERR1002076	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1002076	ALX4_eDBD_2_KW_TCTATT40NCAT		HT-SELEX sample ALX4_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002080	PRJEB9797	ERP010942	SAMEA3523032	ERS830181	ERX1081104	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	419426	16777040	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-31	ena-RUN-KI-BN-06-09-2015-20:23:04:653-31	15810599	bff13c3ef14f2aeb7fd04d38aa69a776	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1002080/ERR1002080.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/000/ERR1002080/ERR1002080.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1002080/ERR1002080.fastq.gz	14646414	1542d37c7578ee7a10ac1ee0fb3b4fe5	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002080/ALX4_eDBD_4_KW_TCTATT40NCAT.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002080/ALX4_eDBD_4_KW_TCTATT40NCAT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002080/ALX4_eDBD_4_KW_TCTATT40NCAT.fastq.gz	FASTQ	10172063	79f0f14ee43cd088372c985431d10e38	ftp.sra.ebi.ac.uk/vol1/err/ERR100/000/ERR1002080	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/000/ERR1002080	ftp.sra.ebi.ac.uk/vol1/err/ERR100/000/ERR1002080	ALX4_eDBD_4_KW_TCTATT40NCAT		HT-SELEX sample ALX4_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002087	PRJEB9797	ERP010942	SAMEA3523039	ERS830188	ERX1081111	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	131793	5271720	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-38	ena-RUN-KI-BN-06-09-2015-20:23:04:653-38	5144502	8acd9b2953571727a1da3a1fd6ad7651	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1002087/ERR1002087.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/007/ERR1002087/ERR1002087.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1002087/ERR1002087.fastq.gz	4770896	e4e44fd36570e187b5e724374d53feb5	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002087/ARGFX_eDBD_3_KO_TGGTTA40NTAC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002087/ARGFX_eDBD_3_KO_TGGTTA40NTAC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002087/ARGFX_eDBD_3_KO_TGGTTA40NTAC.fastq.gz	FASTQ	3353130	a0635ea50cdb064515c7ee0e6f88c639	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1002087	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/007/ERR1002087	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1002087	ARGFX_eDBD_3_KO_TGGTTA40NTAC		HT-SELEX sample ARGFX_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002090	PRJEB9797	ERP010942	SAMEA3523042	ERS830191	ERX1081114	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	276435	11057400	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-41	ena-RUN-KI-BN-06-09-2015-20:23:04:653-41	10802226	d2a33b2397cede5040a2a5791d532539	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1002090/ERR1002090.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/000/ERR1002090/ERR1002090.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1002090/ERR1002090.fastq.gz	10025375	81c1318ca8d247f43480e4aea8482bc8	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002090/ARNT2_eDBD_1_KT_TCTGTC40NCAA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002090/ARNT2_eDBD_1_KT_TCTGTC40NCAA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002090/ARNT2_eDBD_1_KT_TCTGTC40NCAA.fastq.gz	FASTQ	6960351	345eef213940c69f24a48444c482a941	ftp.sra.ebi.ac.uk/vol1/err/ERR100/000/ERR1002090	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/000/ERR1002090	ftp.sra.ebi.ac.uk/vol1/err/ERR100/000/ERR1002090	ARNT2_eDBD_1_KT_TCTGTC40NCAA		HT-SELEX sample ARNT2_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002092	PRJEB9797	ERP010942	SAMEA3523044	ERS830193	ERX1081116	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	308109	12324360	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-43	ena-RUN-KI-BN-06-09-2015-20:23:04:653-43	11860069	a0ce4fc40c0a9005d3f68da88cb14c18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/002/ERR1002092/ERR1002092.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/002/ERR1002092/ERR1002092.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/002/ERR1002092/ERR1002092.fastq.gz	10969263	356bc927c73ed7dbf2eaa53a2f4cf80b	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002092/ARNT2_eDBD_2_KT_TCTGTC40NCAA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002092/ARNT2_eDBD_2_KT_TCTGTC40NCAA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002092/ARNT2_eDBD_2_KT_TCTGTC40NCAA.fastq.gz	FASTQ	7790676	c0fd6d3e88b479ea0f00ca0874120d1b	ftp.sra.ebi.ac.uk/vol1/err/ERR100/002/ERR1002092	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/002/ERR1002092	ftp.sra.ebi.ac.uk/vol1/err/ERR100/002/ERR1002092	ARNT2_eDBD_2_KT_TCTGTC40NCAA		HT-SELEX sample ARNT2_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002095	PRJEB9797	ERP010942	SAMEA3523047	ERS830196	ERX1081119	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	236881	9475240	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-46	ena-RUN-KI-BN-06-09-2015-20:23:04:653-46	9315002	a70b87d70058cf2bf5d619e58be16030	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1002095/ERR1002095.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/005/ERR1002095/ERR1002095.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1002095/ERR1002095.fastq.gz	8642517	9eda5d1e63d9cc0d5be29cdd39a51ae6	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002095/ARNT2_eDBD_3_KT_TGTTAG40NACC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002095/ARNT2_eDBD_3_KT_TGTTAG40NACC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002095/ARNT2_eDBD_3_KT_TGTTAG40NACC.fastq.gz	FASTQ	6102833	0a17f31555489754b22cd3e853e41923	ftp.sra.ebi.ac.uk/vol1/err/ERR100/005/ERR1002095	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/005/ERR1002095	ftp.sra.ebi.ac.uk/vol1/err/ERR100/005/ERR1002095	ARNT2_eDBD_3_KT_TGTTAG40NACC		mHT-SELEX sample ARNT2_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002096	PRJEB9797	ERP010942	SAMEA3523048	ERS830197	ERX1081120	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	288729	11549160	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:653-47	ena-RUN-KI-BN-06-09-2015-20:23:04:653-47	10456394	a011c8679734c9c441d37a12e060ce10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1002096/ERR1002096.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/006/ERR1002096/ERR1002096.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1002096/ERR1002096.fastq.gz	9621147	f5b549ed4abea3133a958f7dbcbd0ebd	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002096/ARNT2_eDBD_4_KT_TCTGTC40NCAA.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002096/ARNT2_eDBD_4_KT_TCTGTC40NCAA.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002096/ARNT2_eDBD_4_KT_TCTGTC40NCAA.fastq.gz	FASTQ	7137756	b9d8ad55d6b50f22a555d022d3c635c6	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1002096	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/006/ERR1002096	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1002096	ARNT2_eDBD_4_KT_TCTGTC40NCAA		HT-SELEX sample ARNT2_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002101	PRJEB9797	ERP010942	SAMEA3523053	ERS830202	ERX1081125	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	538142	21525680	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:654-52	ena-RUN-KI-BN-06-09-2015-20:23:04:654-52	21644567	24bd95272728998b4882977512c15ee6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/001/ERR1002101/ERR1002101.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/001/ERR1002101/ERR1002101.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/001/ERR1002101/ERR1002101.fastq.gz	20057907	fcae4ba971a5c8468a81c70e9a0e69ec	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002101/ARNTL_eDBD_2_KV_TCTCCG40NCGC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002101/ARNTL_eDBD_2_KV_TCTCCG40NCGC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002101/ARNTL_eDBD_2_KV_TCTCCG40NCGC.fastq.gz	FASTQ	14279871	a9f6e5208d9f844fe94f3460160fbb79	ftp.sra.ebi.ac.uk/vol1/err/ERR100/001/ERR1002101	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/001/ERR1002101	ftp.sra.ebi.ac.uk/vol1/err/ERR100/001/ERR1002101	ARNTL_eDBD_2_KV_TCTCCG40NCGC		HT-SELEX sample ARNTL_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR1002106	PRJEB9797	ERP010942	SAMEA3523058	ERS830207	ERX1081130	ERA475861	32630	synthetic construct	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	SELEX	SYNTHETIC	other	341011	13640440	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2015-09-10	2018-11-16	Illumina HiSeq 2000 sequencing	We present the first genome-scale analysis of the effect of CpG methylation on DNA-binding of TFs.	ena-STUDY-KI-BN-03-07-2015-16:08:29:893-110	ena-EXPERIMENT-KI-BN-06-09-2015-20:23:04:654-57	ena-RUN-KI-BN-06-09-2015-20:23:04:654-57	13533128	cecabf1b502ff7a792b94374abebac0a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1002106/ERR1002106.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/006/ERR1002106/ERR1002106.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1002106/ERR1002106.fastq.gz	12543472	5c7ce81fd77b567a91c1169c2befcd47	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002106/ARX_eDBD_1_KO_TAGCGC40NCGC.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1002106/ARX_eDBD_1_KO_TAGCGC40NCGC.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1002106/ARX_eDBD_1_KO_TAGCGC40NCGC.fastq.gz	FASTQ	8826218	77bad0335b6b75775e894e67cfd816d8	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1002106	fasp.sra.ebi.ac.uk:/vol1/err/ERR100/006/ERR1002106	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1002106	ARX_eDBD_1_KO_TAGCGC40NCGC		HT-SELEX sample ARX_eDBD		2015-09-06				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
